# Total counts: 15151
# Active taps: 162
# Average width: 17.64 ps
# Temperature: 62.8 °C
# 
# Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
135	11	0.000726025	2.07	2417.29	-0.8824	2.119
136	225	0.0148505	42.43	2439.54	1.4058	3.525
137	28	0.00184806	5.28	2463.39	-0.7006	2.824
138	166	0.0109564	31.30	2481.68	0.7749	3.599
139	4	0.000264009	0.75	2497.71	-0.9572	2.642
140	261	0.0172266	49.22	2522.70	1.7907	4.432
141	8	0.000528018	1.51	2548.06	-0.9145	3.518
142	113	0.00745825	21.31	2559.47	0.2082	3.726
143	58	0.00382813	10.94	2575.60	-0.3798	3.346
144	109	0.00719424	20.55	2591.34	0.1655	3.512
145	27	0.00178206	5.09	2604.17	-0.7113	2.801
146	124	0.00818428	23.38	2618.40	0.3259	3.126
147	42	0.00277209	7.92	2634.06	-0.5509	2.575
148	157	0.0103624	29.61	2652.82	0.6787	3.254
149	14	0.000924031	2.64	2668.94	-0.8503	2.404
150	143	0.00943832	26.97	2683.75	0.5290	2.933
151	27	0.00178206	5.09	2699.77	-0.7113	2.222
152	93	0.00613821	17.54	2711.09	-0.0056	2.216
153	42	0.00277209	7.92	2723.82	-0.5509	1.665
154	140	0.00924031	26.40	2740.98	0.4969	2.162
155	40	0.00264009	7.54	2757.95	-0.5723	1.590
156	183	0.0120784	34.51	2778.98	0.9567	2.546
157	3	0.000198007	0.57	2796.52	-0.9679	1.578
158	180	0.0118804	33.94	2813.77	0.9246	2.503
159	33	0.00217807	6.22	2833.85	-0.6472	1.856
160	52	0.00343212	9.81	2841.87	-0.4440	1.412
161	25	0.00165006	4.71	2849.13	-0.7327	0.679
162	30	0.00198007	5.66	2854.31	-0.6792	0.000
163	0	0	0.00	2857.14	0.0000	0.000
164	0	0	0.00	2857.14	0.0000	0.000
165	0	0	0.00	2857.14	0.0000	0.000
166	0	0	0.00	2857.14	0.0000	0.000
167	0	0	0.00	2857.14	0.0000	0.000
168	0	0	0.00	2857.14	0.0000	0.000
169	0	0	0.00	2857.14	0.0000	0.000
170	0	0	0.00	2857.14	0.0000	0.000
171	0	0	0.00	2857.14	0.0000	0.000
172	0	0	0.00	2857.14	0.0000	0.000
173	0	0	0.00	2857.14	0.0000	0.000
174	0	0	0.00	2857.14	0.0000	0.000
175	0	0	0.00	2857.14	0.0000	0.000
176	0	0	0.00	2857.14	0.0000	0.000
177	0	0	0.00	2857.14	0.0000	0.000
178	0	0	0.00	2857.14	0.0000	0.000
179	0	0	0.00	2857.14	0.0000	0.000
180	0	0	0.00	2857.14	0.0000	0.000
181	0	0	0.00	2857.14	0.0000	0.000
182	0	0	0.00	2857.14	0.0000	0.000
183	0	0	0.00	2857.14	0.0000	0.000
184	0	0	0.00	2857.14	0.0000	0.000
185	0	0	0.00	2857.14	0.0000	0.000
186	0	0	0.00	2857.14	0.0000	0.000
187	0	0	0.00	2857.14	0.0000	0.000
188	0	0	0.00	2857.14	0.0000	0.000
189	0	0	0.00	2857.14	0.0000	0.000
190	0	0	0.00	2857.14	0.0000	0.000
191	0	0	0.00	2857.14	0.0000	0.000
192	0	0	0.00	2857.14	0.0000	0.000
