# Time [ps]	Counts	PDF [1/ps]
4650000000	6	5.6744e-12
4680000000	6	5.6744e-12
4710000000	1	9.45734e-13
4740000000	1	9.45734e-13
4770000000	3	2.8372e-12
4800000000	4	3.78294e-12
4830000000	4	3.78294e-12
4860000000	3	2.8372e-12
4890000000	4	3.78294e-12
4920000000	3	2.8372e-12
4950000000	5	4.72867e-12
4980000000	3	2.8372e-12
5010000000	3	2.8372e-12
5040000000	3	2.8372e-12
5070000000	4	3.78294e-12
5100000000	0	0
5130000000	2	1.89147e-12
5160000000	0	0
5190000000	1	9.45734e-13
5220000000	0	0
5250000000	1	9.45734e-13
5280000000	3	2.8372e-12
5310000000	1	9.45734e-13
5340000000	2	1.89147e-12
5370000000	0	0
5400000000	2	1.89147e-12
5430000000	1	9.45734e-13
5460000000	2	1.89147e-12
5490000000	1	9.45734e-13
5520000000	1	9.45734e-13
5550000000	0	0
5580000000	1	9.45734e-13
5610000000	2	1.89147e-12
5640000000	0	0
5670000000	0	0
5700000000	1	9.45734e-13
5730000000	0	0
5760000000	0	0
5790000000	1	9.45734e-13
5820000000	0	0
5850000000	2	1.89147e-12
5880000000	1	9.45734e-13
5910000000	2	1.89147e-12
5940000000	0	0
5970000000	2	1.89147e-12
