X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,2.460000e-01,2.000000e-03
77,2.00e+01,-8.20e-01,
78,2.00e+01,-8.60e-01,
79,2.08e+01,-8.00e-01,
80,2.00e+01,-8.40e-01,
81,2.16e+01,-7.40e-01,
82,2.16e+01,-7.80e-01,
83,2.00e+01,-6.60e-01,
84,2.00e+01,-7.00e-01,
85,2.16e+01,-6.00e-01,
86,2.00e+01,-6.00e-01,
87,2.16e+01,-6.60e-01,
88,2.08e+01,-6.60e-01,
89,2.16e+01,-5.80e-01,
90,2.08e+01,-6.20e-01,
91,2.16e+01,-5.20e-01,
92,2.08e+01,-5.60e-01,
93,2.16e+01,-4.40e-01,
94,2.08e+01,-4.80e-01,
95,2.24e+01,-4.20e-01,
96,2.08e+01,-4.40e-01,
97,2.24e+01,-4.00e-01,
98,2.08e+01,-4.40e-01,
99,2.24e+01,-4.00e-01,
100,2.16e+01,-4.40e-01,
101,2.24e+01,-3.40e-01,
102,2.16e+01,-3.80e-01,
103,2.24e+01,-3.00e-01,
104,2.16e+01,-3.40e-01,
105,2.24e+01,-2.60e-01,
106,2.24e+01,-2.60e-01,
107,2.16e+01,-3.20e-01,
108,2.16e+01,-2.60e-01,
109,2.24e+01,-3.20e-01,
110,2.16e+01,-3.20e-01,
111,2.32e+01,-2.40e-01,
112,2.32e+01,-2.60e-01,
113,2.16e+01,-1.80e-01,
114,2.16e+01,-2.00e-01,
115,2.32e+01,-1.60e-01,
116,2.16e+01,-2.00e-01,
117,2.32e+01,-1.60e-01,
118,2.32e+01,-1.80e-01,
119,2.24e+01,-2.40e-01,
120,2.24e+01,-2.00e-01,
121,2.32e+01,-1.60e-01,
122,2.32e+01,-1.80e-01,
123,2.24e+01,-1.20e-01,
124,2.24e+01,-1.60e-01,
125,2.32e+01,-8.00e-02,
126,2.24e+01,-8.00e-02,
127,2.32e+01,-1.60e-01,
128,2.24e+01,-1.20e-01,
129,2.40e+01,-1.60e-01,
130,2.40e+01,-1.60e-01,
131,2.24e+01,-1.20e-01,
132,2.40e+01,-1.20e-01,
133,2.24e+01,-6.00e-02,
134,2.24e+01,-8.00e-02,
135,2.40e+01,-4.00e-02,
136,2.40e+01,-6.00e-02,
137,2.24e+01,-1.00e-01,
138,2.32e+01,-6.00e-02,
139,2.40e+01,-1.20e-01,
140,2.40e+01,-1.40e-01,
141,2.32e+01,-6.00e-02,
142,2.40e+01,-1.00e-01,
143,2.32e+01,-4.00e-02,
144,2.32e+01,-6.00e-02,
145,2.40e+01,0.00e+00,
146,2.40e+01,-4.00e-02,
147,2.32e+01,-8.00e-02,
148,2.32e+01,-1.00e-01,
149,2.48e+01,-6.00e-02,
150,2.48e+01,-1.00e-01,
151,2.32e+01,-6.00e-02,
152,2.32e+01,-8.00e-02,
